path,size_bytes,sha256,extension,is_pe,signed,digest_match,chain_verified,signer,issuer
BINx64/dpmcmd.exe,217144,c8402690e9a20a9f1c380cf39393510feef533159cd83a85679fb1bf130b853a,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/du.exe,467000,2c889af1bf505258d6db8e649b806108d382a19a38a80e0cb1daa61371545e9c,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/evparse.exe,306744,7299eb5905692863a865691ba79fca01b2ae0ac2d8a0d76b7bea8489eb920818,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/fcinfo.exe,95304,d5059ea001becb79c627148acfe38d41fdd05ba3958f3f5f75644fd96c06dba9,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/get_dependencies.vbs,17906,4e43ea926ec9b71b34cf8563e227231dac7b887d638c8b5f7f6e3291f3392da0,.vbs,,,,,,
BINx64/hbaapi.dll,71736,3f8ca5a0c7bd468c667d535f9a6e7a48a046c6ddc5bdbbab5feb653d752c23ac,.dll,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/hbatapi.dll,40504,2da30e3045a35f0718b86599e7007654eab3c5944228f6adb50cbf5344800251,.dll,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/kdbgctrl.exe,84024,03f23cede0504c250fe4d4d50c114007bb006684a4e477bd46ed682f3cf662f3,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/latte.exe,45624,a7c2836202cecc09592cd48ba855290713a55ec6f96f25d24605568f7aa0ec3b,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2011,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
BINx64/notmyfaultc.exe,1091392,6a948ce998d51de110dcd85330e0f8d51743171d07bb7f70a3bfcdbe43659f31,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2024,O=Microsoft Corporation,C=US"
BINx64/poolmon.exe,67136,013807c4f7950d41c13880a2ba6fb3231e3ce2b0ef99cc72d8088e2fc178a77c,.exe,True,True,True,True,"CN=Microsoft Corporation,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US","CN=Microsoft Code Signing PCA 2010,O=Microsoft Corporation,L=Redmond,ST=Washington,C=US"
